模型名称,最佳参数估计方法,测试集R2,测试集RMSE,测试集MAE,测试集MAPE(%),参数向量
指数增长模型,L-BFGS-B拟牛顿法,-208.18316707248087,1.7996361525298143,1.7553821836667605,12.479517395138295,"6.602882, 0.012193"
Logistic增长模型,Dogbox信赖域法,-1.5571982377404394,0.19897730311888873,0.18801338736485418,1.3367639902838244,"5.198333, 0.039920, 15.929630"
