模型名称,参数估计方法,是否成功,失败原因,运行时间(s),训练集R2,训练集RMSE,训练集MAE,训练集MAPE(%),测试集R2,测试集RMSE,测试集MAE,测试集MAPE(%),参数个数,参数向量
指数增长模型,信赖域反射法(TRF),是,,0.0106,0.9465469371247843,0.5379131290765345,0.44609412024781214,4.763305527396029,-208.1869155761658,1.7996522769451355,1.7553982436676816,12.479631652007837,2,"6.602870, 0.012193"
指数增长模型,Dogbox信赖域法,是,,0.0014,0.946546937124868,0.5379131290761131,0.4460940091362136,4.763305607513835,-208.18654033967096,1.7996506628491646,1.7553966362904028,12.479620216596793,2,"6.602871, 0.012193"
指数增长模型,L-BFGS-B拟牛顿法,是,,0.0021,0.9465469371181449,0.5379131291099418,0.4460930414008507,4.763306497219437,-208.18316707248087,1.7996361525298143,1.7553821836667605,12.479517395138295,2,"6.602882, 0.012193"
改进指数增长模型,信赖域反射法(TRF),否,外推输出无效,0.0032,,,,,,,,,,
改进指数增长模型,Dogbox信赖域法,否,外推输出无效,0.0028,,,,,,,,,,
改进指数增长模型,L-BFGS-B拟牛顿法,否,外推输出无效,0.0052,,,,,,,,,,
Logistic增长模型,信赖域反射法(TRF),是,,0.0011,0.9976792390003842,0.11208333776603169,0.09245445646799827,0.9737490686258331,-1.5572017905193882,0.19897744134089237,0.18801352723334208,1.3367649850678631,3,"5.198333, 0.039920, 15.929631"
Logistic增长模型,Dogbox信赖域法,是,,0.0011,0.997679239000385,0.11208333776601248,0.09245445452069216,0.9737491671974182,-1.5571982377404394,0.19897730311888873,0.18801338736485418,1.3367639902838244,3,"5.198333, 0.039920, 15.929630"
Logistic增长模型,L-BFGS-B拟牛顿法,是,,0.0033,0.9976792389979426,0.1120833378249902,0.09245456836022131,0.9737434047405911,-1.557406137994696,0.1989853913833299,0.18802157220142757,1.336822203196662,3,"5.198343, 0.039920, 15.929663"
