模型名称,用于重估的最佳方法,参数向量,2024年预测人口(亿人),2025年预测人口(亿人),2030年预测人口(亿人),2040年预测人口(亿人),2050年预测人口(亿人),2024-2025年均增长率(%),2025-2030年均增长率(%),2030-2040年均增长率(%),2040-2050年均增长率(%)
指数增长模型,L-BFGS-B拟牛顿法,"6.881849, 0.011041",15.751498029625704,15.92636822659773,16.830274517811052,18.794903234535273,20.988866653464896,1.1101813722296683,1.110181372229646,1.110181372229646,1.110181372229646
Logistic增长模型,Dogbox信赖域法,"5.164877, 0.040950, 15.700323",14.343784806726271,14.393683226328566,14.618943199388408,14.965294442321506,15.204476698146753,0.34787484805889335,0.3110572145268442,0.23443085425092214,0.15868665018734518
